,seller_id,seller_city,seller_state,distinct_prod,distinct_categories,delivery_avg,review_avg,total_orders,total_income,avg_price_month
39,119,ribeirao preto,SP,20,2,-12.0,4.1,20,1538.1,76.9
40,2142,sao paulo,SP,374,27,-14.05,4.13,374,51449.78,137.57
41,183,lencois paulista,SP,1,1,-6.0,3.0,1,129.9,129.9
42,292,ibitinga,SP,573,3,-13.0,3.87,573,27190.22,47.45
43,148,itajai,SP,154,13,-10.76,4.19,154,7753.5,50.35
44,1993,sao paulo,SP,71,9,-11.49,3.97,71,7926.3,111.64
45,1463,sao bernardo do campo,SP,150,8,-8.77,4.19,150,7271.67,48.48
46,1274,guarulhos,SP,101,5,-10.83,3.78,101,5992.51,59.33
47,1678,brasilia,DF,12,1,-7.42,4.67,12,687.16,57.26
48,2831,sao paulo,SP,1233,2,-13.36,3.96,1233,37967.95,30.79
49,1049,campinas,SP,268,1,-11.15,4.24,268,8754.22,32.66
50,1794,sao paulo,SP,379,3,-13.17,3.9,379,6738.43,17.78
51,395,sao paulo,SP,446,7,-11.41,3.89,446,13046.77,29.25
52,1541,sao paulo,SP,197,2,-13.1,3.91,197,4036.8799999999997,20.49
53,2645,sao paulo,SP,148,5,-10.79,4.14,148,3368.2,22.76
54,990,barueri,SP,11,1,-6.8,3.73,11,657.0699999999999,59.73
55,105,taubate,SP,9,4,-10.89,3.78,9,324.2,36.02
56,1630,atibaia,SP,34,2,-13.53,3.35,34,2690.0,79.12
57,2885,sao paulo,SP,345,4,-13.19,3.93,345,9858.38,28.58
58,1086,mogi das cruses,SP,14,4,-5.46,4.07,14,1089.7,77.84
59,2543,ibitinga,SP,691,4,-14.2,3.63,691,23522.86,34.04
60,1371,jacarei,SP,350,15,-14.45,3.78,350,32234.23,92.1
61,1702,sao jose dos campos,SP,159,14,-14.06,3.89,159,9545.6,60.04
62,1933,taubate,SP,19,8,-10.21,4.47,19,1354.0,71.26
63,944,jacarei,SP,476,23,-14.66,3.91,476,47626.07,100.05
64,240,sao paulo,SP,38,6,-8.68,3.82,38,2185.4,57.51
65,1050,brasilia,DF,192,11,-11.6,3.8,192,8165.29,42.53
66,337,fazenda rio grande,PR,9,5,-18.11,3.78,9,785.97,87.33
67,1210,sao paulo,SP,5,1,-24.2,1.8,5,927.7,185.54
68,2476,santo andre,SP,1885,4,-11.66,4.05,1885,110324.34999999999,58.53
69,315,sao ludgero,SC,117,9,-14.27,4.11,117,14710.300000000001,125.73
70,1267,araucaria,PR,23,3,-11.83,3.87,23,4019.33,174.75
71,290,sao paulo,SP,150,17,-11.08,3.37,150,8954.52,59.7
72,1704,sao paulo,SP,1027,11,-12.78,4.0,1027,17670.13,17.21
73,213,maringa,PR,569,6,-14.41,4.18,569,12351.55,21.71
74,2443,itapecerica da serra,SP,143,9,-11.25,4.14,143,11023.15,77.08
75,2038,sao bernardo do campo,SP,16,1,-9.81,3.44,16,318.48,19.9
76,1633,itatiba,SP,333,3,-15.83,3.75,333,32880.17,98.74
77,2892,andradas,SP,30,5,-11.9,4.1,30,3836.19,127.87
78,21,francisco beltrao,PR,91,8,-10.4,4.3,91,13018.56,143.06
79,1043,tabatinga,SP,6,2,-8.5,4.0,6,664.4000000000001,110.73
80,2315,santo andre,SP,28,1,-11.11,4.36,28,3697.2000000000003,132.04
81,1846,tabatinga,SP,26,1,-12.28,3.85,26,2999.9900000000002,115.38
82,2590,ibitinga,SP,89,2,-13.89,3.94,89,4066.13,45.69
83,2561,mococa,SP,39,2,-12.16,3.41,39,2459.2,63.06
84,1698,navegantes,SC,70,4,-10.83,4.43,70,17498.96,249.99
85,2957,cascavel,PR,24,2,-18.27,3.67,24,7712.7699999999995,321.37
86,912,ribeirao preto,SP,1,1,-15.0,3.0,1,108.5,108.5
87,2986,curitiba,PR,81,3,-9.99,4.2,81,2149.35,26.54
88,1150,santa barbara d´oeste,SP,361,7,-11.64,3.98,361,118952.53,329.51
89,3080,sao paulo,SP,21,2,-11.0,3.71,21,23209.8,1105.23
90,362,sao paulo,SP,150,1,-7.86,4.26,150,18445.66,122.97
91,157,tres coracoes,MG,236,3,-12.7,4.08,236,18520.79,78.48
92,2612,praia grande,SP,568,6,-11.41,4.1,568,42494.08,74.81
93,1464,curitiba,PR,401,2,-14.95,4.07,401,48877.3,121.89
94,2227,sao paulo,SP,15,1,-6.0,4.27,15,806.8000000000001,53.79
95,3059,campinas,SP,308,2,-11.06,4.37,308,66496.51,215.9
96,1195,petropolis,RJ,817,2,-12.97,4.22,817,118220.6,144.7
97,456,apucarana,PR,39,3,-13.05,4.26,39,8494.11,217.8
98,1674,sao paulo,SP,31,1,-12.97,3.77,31,4598.4,148.34
99,280,riberao preto,SP,274,12,-14.27,4.14,274,54915.79,200.42
100,2039,umuarama,PR,55,1,-18.07,4.05,55,17765.8,323.01
101,2492,ribeirao preto,SP,142,9,-16.59,3.92,142,19774.7,139.26
102,3023,presidente prudente,SP,11,1,-30.4,2.36,11,2459.89,223.63
103,996,maringa,PR,3,1,-25.67,4.0,3,792.0,264.0
104,1622,congonhal,MG,115,12,-21.82,3.1,115,24346.38,211.71
105,1820,sao paulo,SP,1517,22,-10.68,4.05,1517,135982.11000000002,89.64
106,1275,guaratuba,PR,6,4,-5.6,3.83,6,719.59,119.93
107,1519,osasco,SP,14,3,-13.93,3.5,14,417.47,29.82
108,298,assis,SP,9,4,-16.67,4.0,9,1796.2,199.58
109,2930,sao paulo,SP,98,11,-12.31,4.09,98,8888.3,90.7
110,816,brasilia,DF,157,14,-13.46,3.73,157,19142.44,121.93
111,798,sao paulo,SP,21,8,-14.33,4.05,21,2963.9,141.14
112,1636,belo horizonte,MG,548,6,-14.72,4.2,548,16222.74,29.6
113,2013,campo mourao,PR,56,3,-13.16,4.54,56,14836.84,264.94
114,790,americana,SP,5,1,-39.0,3.2,5,1603.5,320.7
115,1950,ilicinea,MG,805,3,-13.77,4.15,805,106366.94,132.13
116,2970,rio do sul,SC,11,3,-13.09,4.09,11,1762.94,160.27
117,1984,joinville,SC,273,12,-12.48,4.4,273,27478.31,100.65
118,1910,sorocaba,SP,110,7,-8.18,4.52,110,10961.74,99.65
119,2434,sao paulo,SP,36,2,-10.86,3.97,36,3149.04,87.47
120,1942,divinopolis,MG,8,3,-4.0,4.75,8,514.5,64.31
121,2756,rio de janeiro,RJ,7,2,-7.86,4.86,7,1022.6,146.09
122,768,tatui,SP,51,2,-13.38,4.31,51,3837.6800000000003,75.25
123,712,curitiba,PR,15,1,-10.43,4.47,15,1948.77,129.92
124,108,ferraz de vasconcelos,SP,31,2,-5.83,4.23,31,2827.9,91.22
125,1693,presidente prudente,SP,111,3,-7.55,4.24,111,8026.0,72.31
126,840,rio de janeiro,RJ,552,6,-11.91,4.18,552,130377.09,236.19
127,795,santo andre,SP,24,4,-9.54,4.67,24,1514.09,63.09
128,1852,rio claro,SP,14,3,-7.36,4.64,14,1004.29,71.74
129,2813,praia grande,SP,760,8,-10.04,4.17,760,43580.89,57.34
130,1881,vicente de carvalho,SP,226,6,-8.44,3.94,226,9053.89,40.06
131,956,maringa,PR,2,2,-11.0,5.0,2,86.8,43.4
132,2011,socorro,SP,25,3,-13.72,4.24,25,1932.44,77.3
133,1771,conchal,SP,7,3,-12.5,3.29,7,207.85999999999999,29.69
134,1738,campinas,SP,11,2,-10.91,4.27,11,1384.5,125.86
135,1057,sorocaba,SP,3,2,-10.67,4.67,3,151.79,50.6
136,2861,sao paulo,SP,2,1,-22.0,3.0,2,43.0,21.5
137,2347,ribeirao preto,SP,4,1,-16.67,2.0,4,215.60000000000002,53.9
138,106,ribeirao pires,SP,97,5,-10.27,4.24,97,7644.3,78.81
139,757,araraquara,SP,40,1,-15.86,3.78,40,2946.0,73.65
140,706,sao joao de meriti,RJ,42,2,-14.24,3.88,42,4068.66,96.87
141,3000,salto,SP,759,19,-9.96,4.23,759,52157.1,68.72
142,1003,sao paulo,SP,24,6,-15.36,3.33,24,1497.3600000000001,62.39
143,1202,santo andre,SP,23,4,-9.95,4.0,23,4922.27,214.01
144,570,salto,SP,97,14,-8.83,4.55,97,4505.8,46.45
145,402,registro,SP,33,8,-10.84,4.33,33,4157.89,126.0
146,2961,santo andre/sao paulo,SP,13,3,-5.77,4.31,13,567.79,43.68
147,1251,rio do sul,SC,189,3,-12.01,4.11,189,13399.87,70.9
148,387,sao carlos,SP,46,3,-20.58,3.65,46,9226.82,200.58
149,2975,marechal candido rondon,SP,7,3,-9.43,4.14,7,193.54999999999998,27.65
150,1270,capivari,SP,84,3,-9.81,4.17,84,3801.61,45.26
151,611,bento goncalves,RS,16,1,-8.25,4.69,16,730.67,45.67
152,1604,caxias do sul,RS,18,3,-9.11,4.72,18,838.2,46.57
153,1344,sorocaba,SP,8,3,-6.62,4.25,8,586.57,73.32
154,513,belo horizonte,MG,7,2,-9.43,5.0,7,1316.73,188.1
155,2989,sao bernardo do campo,SP,246,2,-13.1,4.21,246,73380.0,298.29
156,2023,mamanguape,PB,15,1,-15.14,3.33,15,13469.11,897.94
157,1835,diadema,SP,76,1,-9.94,3.84,76,51636.04,679.42
158,192,sao paulo,SP,1465,4,-11.92,3.86,1465,142646.77,97.37
159,2540,apucarana,PR,35,6,-10.09,4.43,35,1469.12,41.97
160,2589,ribeirao das neves,MG,48,8,-10.2,4.4,48,4916.36,102.42
161,2286,birigui,SP,7,1,-8.71,5.0,7,120.0,17.14
162,2015,sao paulo,SP,4,2,-6.0,3.0,4,66.59,16.65
163,666,ibitinga,SP,639,2,-14.49,3.95,639,41215.54,64.5
164,1581,pinhais,PR,109,3,-11.27,4.36,109,16031.880000000001,148.07
165,2020,sao paulo,SP,145,7,-12.48,3.9,145,13588.7,93.72
166,2028,itirapina,SP,5,1,-10.4,3.6,5,382.5,76.5
167,174,santo andre,SP,14,2,-6.36,4.71,14,1507.0,107.64
168,1658,sao paulo,SP,14,2,-6.5,3.5,14,702.36,50.17
169,1364,goiania,GO,8,1,-10.62,4.62,8,371.2,46.4
170,1120,sao paulo,SP,68,1,-11.09,4.62,68,8623.5,126.82
171,501,belo horizonte,MG,170,8,-8.73,4.25,170,16176.0,95.15
172,2193,rio de janeiro,RJ,39,4,-11.32,4.21,39,2221.6,56.96
173,1459,curitiba,PR,73,5,-10.82,4.11,73,18051.399999999998,247.28
174,285,belo horizonte,MG,67,3,-12.63,4.24,67,2820.2999999999997,42.09
175,2653,sao paulo,SP,124,5,-9.83,4.55,124,5693.6,45.92
176,2738,joinville,SC,7,1,-9.83,5.0,7,1348.4,192.63
177,177,americana,SP,42,4,-15.44,4.4,42,2126.43,50.63
178,1587,bauru,SP,41,1,-11.5,4.07,41,5220.900000000001,127.34
179,3046,ribeirao preto,SP,27,2,-10.81,3.26,27,4783.99,177.18
180,1016,rio de janeiro,RJ,179,10,-9.49,4.13,179,4889.099999999999,27.31
181,2996,rio de janeiro,RJ,101,2,-11.52,3.65,101,6168.74,61.08
182,1283,rio de janeiro,RJ,6,1,-6.0,4.83,6,120.0,20.0
183,2420,sao paulo,SP,35,4,-9.18,4.03,35,1748.2,49.95
184,552,sao paulo,SP,6,5,-5.33,3.33,6,165.6,27.6
185,2078,sao paulo,SP,12,4,-9.83,3.83,12,466.78,38.9
186,655,curitiba,PR,48,2,-13.12,4.31,48,7567.8,157.66
187,1180,campinas,SP,5,1,-9.6,4.8,5,2916.6,583.32
188,1232,sao paulo,SP,2111,7,-9.69,3.91,2111,127779.81,60.53
189,333,santana de parnaiba,SP,137,2,-15.11,2.19,137,13340.57,97.38
190,1338,belo horizonte,MG,58,1,-8.58,4.53,58,2016.56,34.77
191,532,sao paulo,SP,11,1,-6.36,4.91,11,178.6,16.24
192,2032,sao paulo,SP,2,2,-6.0,4.5,2,73.78999999999999,36.89
193,695,ibitinga,SP,132,3,-14.62,3.83,132,15207.68,115.21
194,878,ibitinga,SP,2128,7,-14.39,3.8,2128,213208.27000000002,100.19
195,1020,ibitinga,SP,17,1,-16.29,4.35,17,2165.85,127.4
196,2541,ibitinga,SP,113,3,-16.3,3.62,113,4334.01,38.35
197,18,ibitinga,SP,40,1,-13.38,4.05,40,4853.0,121.32
198,1458,sao paulo,SP,165,7,-11.37,4.11,165,32930.9,199.58
199,1443,rio de janeiro,RJ,18,2,-15.22,3.17,18,1664.71,92.48
200,911,ibitinga,SP,27,5,-19.39,3.11,27,2020.73,74.84
201,10,maringa,PR,141,1,-15.78,3.74,141,13315.9,94.44
202,147,maringa,PR,216,1,-14.5,4.0,216,29290.36,135.6
203,2817,maringa,PR,274,2,-14.47,3.96,274,34840.26,127.15
204,1280,sao jose dos campos,SP,117,1,-15.26,3.54,117,11186.83,95.61
205,2953,maringa,PR,247,1,-14.75,3.82,247,20183.8,81.72
206,1665,maringa,PR,316,1,-18.36,3.38,316,33028.35,104.52
207,409,belo horizonte,MG,147,1,-10.94,3.64,147,15709.0,106.86
208,1743,sao jose dos campos,SP,135,1,-14.0,3.01,135,14887.25,110.28
209,1172,maringa,PR,14,1,-22.5,3.57,14,1662.6,118.76
210,2024,franca,SP,63,1,-13.65,4.08,63,3563.7,56.57
211,2762,sao paulo,SP,127,9,-11.75,3.94,127,15300.33,120.48
212,547,sao paulo,SP,183,3,-10.58,4.06,183,13244.58,72.37
213,329,sarandi,PR,178,2,-15.74,3.94,178,26133.56,146.82
214,2782,sao paulo,SP,7,2,-13.57,4.29,7,4025.0,575.0
215,917,juiz de fora,MG,8,1,-7.75,4.5,8,5235.200000000001,654.4
216,2323,garca,SP,17,6,-10.76,3.88,17,4808.78,282.87
217,2575,sao paulo,SP,71,2,-5.92,4.72,71,5031.9,70.87
218,414,porto ferreira,SP,83,1,-13.82,3.64,83,4683.7,56.43
219,2658,ibitinga,SP,277,4,-14.05,3.73,277,26730.19,96.5
220,640,osasco,SP,15,3,-9.2,4.33,15,1559.1,103.94
221,1559,belo horizonte,MG,111,3,-12.31,4.08,111,11699.32,105.4
222,1912,aparecida de goiania,GO,86,5,-14.09,4.45,86,11119.28,129.29
223,3050,sao paulo,SP,80,14,-8.74,4.32,80,2477.05,30.96
224,2065,sao paulo,SP,93,4,-9.46,4.46,93,14279.3,153.54
225,474,sao paulo,SP,7,1,-7.5,4.29,7,245.0,35.0
226,47,bombinhas,SC,94,1,-18.86,3.88,94,60130.6,639.69
227,2866,teresopolis,RJ,180,1,-11.88,4.43,180,81220.15,451.22
228,704,londrina,PR,4,1,-9.25,5.0,4,2095.5,523.88
229,1781,sao paulo,SP,4,3,-8.75,5.0,4,345.70000000000005,86.43
230,1828,borda da mata,MG,71,2,-11.15,3.17,71,3377.2400000000002,47.57
231,1130,sao paulo,SP,101,2,-10.74,4.13,101,33279.020000000004,329.5
232,482,sao jose do rio pret,SP,5,1,-14.67,4.0,5,669.5,133.9
233,974,rio de janeiro,RJ,86,2,-8.92,4.56,86,6762.89,78.64
234,2206,sao paulo,SP,26,2,-10.12,4.27,26,2349.73,90.37
235,2761,limeira,SP,275,1,-15.53,3.75,275,8231.56,29.93
236,1802,belo horizonte,MG,34,3,-18.31,4.0,34,8269.5,243.22
237,1788,sao paulo,SP,18,3,-8.33,4.06,18,1521.74,84.54
238,517,nova friburgo,RJ,32,2,-13.41,4.16,32,51366.9,1605.22
239,60,queimados,RJ,65,2,-12.73,4.12,65,12203.400000000001,187.74
240,1584,jundiai,SP,201,1,-10.45,3.98,201,11118.93,55.32
241,1770,sao paulo,SP,62,4,-12.61,3.74,62,8123.9,131.03
242,1351,guarulhos,SP,232,15,-9.15,4.38,232,13947.8,60.12
243,144,aruja,SP,3,1,-8.67,3.67,3,245.18,81.73
244,1069,ribeirao preto,SP,46,4,-13.53,3.87,46,2444.4,53.14
245,1501,rio de janeiro,RJ,19,1,-12.95,4.16,19,1363.8,71.78
246,1025,curitiba,PR,21,2,-11.48,4.19,21,1341.9,63.9
247,1748,blumenau,SC,20,2,-7.85,4.45,20,4030.9,201.54
248,2621,porto alegre,RS,191,4,-8.45,4.24,191,7278.45,38.11
249,1657,sao paulo,SP,17,1,-11.41,4.35,17,2134.13,125.54
250,132,louveira,SP,148,5,-12.67,3.91,148,16035.35,108.35
251,2264,santo andre,SP,25,1,-13.41,3.28,25,1004.8,40.19
252,2638,piracicaba,SP,1656,4,-11.1,4.07,1656,171055.17,103.29
253,2542,londrina,PR,39,1,-11.13,4.41,39,29205.1,748.85
254,1219,ibitinga,SP,138,1,-10.65,4.27,138,7625.28,55.26
255,1598,tres rios,RJ,159,3,-11.81,4.16,159,4438.07,27.91
256,753,rio de janeiro,RJ,7,1,-8.57,4.71,7,909.3000000000001,129.9
257,930,colombo,PR,15,2,-9.47,4.07,15,479.1,31.94
258,2399,hortolandia,SP,351,1,-7.85,4.32,351,37910.25,108.01
259,897,sao carlos,SP,12,2,-8.0,4.17,12,508.8,42.4
260,657,sao paulo,SP,12,2,-7.09,4.17,12,1093.8799999999999,91.16
261,1071,santa rita do sapucai,MG,5,1,-7.4,4.4,5,125.0,25.0
262,729,campo limpo paulista,SP,1193,6,-13.48,4.12,1193,98434.2,82.51
263,2304,serra negra,SP,123,6,-12.51,4.32,123,20817.0,169.24
264,609,cotia,SP,37,2,-8.97,4.22,37,3834.01,103.62
265,932,betim,MG,47,1,-9.57,4.19,47,981.71,20.89
266,368,sao jose do rio preto,SP,2009,3,-15.47,3.98,2009,111498.81,55.5
267,1350,santos,SP,31,2,-12.73,4.16,31,4155.92,134.06
268,220,assis,SP,86,8,-11.98,3.94,86,4849.3,56.39
269,2191,piracicaba,SP,14,2,-11.36,4.36,14,1484.48,106.03
270,2292,jaragua do sul,SC,7,2,-14.4,3.57,7,2934.0,419.14
271,750,fazenda rio grande,PR,3,1,-8.33,5.0,3,200.6,66.87
272,1370,birigui,SP,85,5,-10.34,4.51,85,5548.7,65.28
273,2115,birigui,SP,2,1,-5.5,4.5,2,224.8,112.4
274,2259,mogi das cruzes,SP,13,4,-13.0,4.15,13,1283.1100000000001,98.7
275,855,porto alegre,RS,7,1,-10.86,4.43,7,879.3000000000001,125.61
276,344,indaial,SC,5,2,-9.2,3.8,5,198.87,39.77
277,1328,joinville,SC,14,2,-15.93,4.36,14,758.6,54.19
278,1856,sao joao del rei,MG,12,1,-7.83,4.75,12,1368.5,114.04
279,79,londrina,PR,58,6,-12.79,4.07,58,6288.01,108.41
280,2988,juiz de fora,MG,49,2,-10.9,4.18,49,4864.24,99.27
281,2226,sao paulo,SP,90,3,-10.33,4.46,90,6476.54,71.96
282,306,joinville,SC,190,1,-15.31,4.16,190,24736.600000000002,130.19
283,2239,jacarei,SP,41,3,-10.19,4.0,41,6729.46,164.13
284,2682,sao paulo,SP,189,6,-11.7,4.19,189,27441.54,145.19
285,390,sao caetano do sul,SP,11,5,-21.43,3.0,11,1342.95,122.09
286,808,sao paulo,SP,112,4,-10.61,4.41,112,8164.0,72.89
287,2472,sao jose do rio preto,SP,195,3,-13.29,4.07,195,8283.94,42.48
288,2088,sao jose do rio preto,SP,44,1,-25.55,3.07,44,6899.570000000001,156.81
289,351,uba,MG,49,3,-17.71,3.94,49,6745.69,137.67
290,160,sao paulo,SP,25,4,-9.28,4.52,25,575.3,23.01
291,1709,assis,SP,99,4,-11.29,4.36,99,4320.72,43.64
292,2538,jacutinga,RS,12,3,-11.33,4.33,12,1156.03,96.34
293,208,ribeirao preto,SP,4,1,-7.0,5.0,4,83.04,20.76
294,516,londrina,PR,8,3,-11.25,3.88,8,294.0,36.75
295,2913,artur nogueira,SP,5,2,-11.0,2.6,5,727.5999999999999,145.52
296,2425,campo largo,PR,61,1,-12.21,4.59,61,10883.9,178.42
297,792,sao paulo,SP,132,4,-7.98,4.35,132,4134.86,31.32
298,75,lajeado,RS,62,5,-13.15,4.0,62,7604.8,122.66
299,447,sao bernardo do campo,SP,2,2,-3.0,5.0,2,99.0,49.5
300,934,suzano,SP,74,5,-14.97,4.08,74,7639.26,103.23
301,1074,bertioga,SP,71,5,-10.72,4.11,71,4702.96,66.24
302,1029,foz do iguacu,PR,83,1,-27.36,2.94,83,10676.5,128.63
303,2768,bauru,SP,29,2,-11.96,4.34,29,6698.7,230.99
304,277,mogi guacu,SP,151,1,-11.33,4.22,151,41163.02,272.6
305,219,sao paulo,SP,4,1,-4.75,4.0,4,369.8,92.45
306,1972,sao paulo,SP,17,2,-8.71,3.71,17,862.15,50.71
307,2055,santo andre,SP,52,1,-12.69,3.58,52,3179.52,61.14
308,2942,brasilia,DF,100,2,-10.71,4.18,100,11173.6,111.74
309,349,arapongas,PR,98,1,-15.54,3.89,98,11316.09,115.47
310,651,sao paulo,SP,293,2,-10.88,4.27,293,57832.13,197.38
311,2758,curitiba,PR,108,1,-12.0,4.4,108,42043.8,389.29
312,1672,guaratuba,PR,2,1,-6.0,2.0,2,252.9,126.45
313,985,santos,SP,75,3,-7.44,4.36,75,3811.9,50.83
314,2395,jaboticabal,SP,50,8,-11.16,4.54,50,4622.17,92.44
315,1992,sao paulo,SP,190,2,-12.75,4.18,190,26384.11,138.86
316,207,ribeirao preto,SP,104,2,-16.2,3.78,104,4462.85,42.91
317,1108,guarulhos,SP,14,2,-6.36,4.5,14,1134.6000000000001,81.04
318,1152,apucarana,PR,33,2,-10.06,4.27,33,1883.78,57.08
319,2446,sao paulo,SP,142,2,-13.5,3.76,142,10125.05,71.3
320,1309,blumenau,SC,11,2,-11.55,4.55,11,2382.5,216.59
321,2009,joinville,SC,1,1,-11.0,5.0,1,83.0,83.0
322,199,uba,MG,40,5,-14.02,4.35,40,6528.7,163.22
323,78,foz do iguacu,PR,75,7,-14.26,4.0,75,9217.36,122.9
324,87,guarulhos,SP,41,5,-12.25,3.51,41,2314.5,56.45
325,1110,sao paulo,SP,37,4,-12.38,3.54,37,5323.400000000001,143.88
326,646,goiania,GO,60,5,-12.27,4.68,60,6695.73,111.6
327,1445,salvador,BA,87,4,-17.24,3.76,87,19258.13,221.36
328,423,niteroi,RJ,36,5,-11.51,4.28,36,13592.08,377.56
329,1357,pinhalao,PR,11,1,-15.45,4.36,11,765.1899999999999,69.56
330,1660,sao paulo,SP,8,3,-15.71,3.5,8,7473.49,934.19
331,124,sao bernardo do campo,SP,66,2,-12.71,3.74,66,14767.42,223.75
332,490,balneario camboriu,SC,5,1,-11.4,4.0,5,400.0,80.0
333,1666,braco do norte,SC,23,8,-8.74,3.87,23,2418.3,105.14
334,82,belo horizonte,MG,19,1,-9.0,4.63,19,1618.19,85.17
335,1010,lauro de freitas,BA,435,2,-13.27,4.07,435,242591.55,557.68
336,1356,curitiba,PR,2,1,-7.0,5.0,2,197.8,98.9
337,25,curitiba,PR,264,1,-10.78,4.31,264,33808.3,128.06
338,2452,sao paulo,SP,220,1,-10.43,4.3,220,12023.0,54.65
339,1330,sao paulo,SP,181,6,-12.03,3.91,181,13496.9,74.57
340,1381,sao paulo,SP,38,3,-13.39,3.68,38,3537.2,93.08
341,2451,jacarei,SP,13,1,-7.85,4.69,13,758.88,58.38
342,732,ponte nova,MG,105,5,-15.28,4.22,105,10157.5,96.74
343,572,scao jose do rio pardo,SP,65,10,-12.19,4.22,65,8405.41,129.31
344,2973,atibaia,SP,24,4,-7.83,4.38,24,2359.27,98.3
345,3076,mogi das cruzes,SP,51,6,-10.12,4.1,51,7426.0,145.61
346,1409,araguari,MG,371,13,-11.45,4.43,371,36686.37,98.89
347,1166,sao paulo,SP,80,5,-10.53,3.84,80,9650.27,120.63
348,2969,porto ferreira,SP,18,3,-13.17,4.28,18,2134.6800000000003,118.59
349,1452,guarulhos,SP,77,7,-9.97,4.12,77,32121.81,417.17
350,166,guarulhos,SP,195,3,-11.61,3.94,195,18712.92,95.96
351,2275,ribeirao preto,SP,12,2,-15.08,4.0,12,374.79999999999995,31.23
352,1033,contagem,MG,7,3,-8.71,4.71,7,453.95,64.85
353,641,santos,SP,172,10,-10.99,3.66,172,9721.85,56.52
354,2826,sao  paulo,SP,56,9,-13.89,3.82,56,10742.12,191.82
355,1731,sao bernardo do campo,SP,245,13,-9.35,4.11,245,11871.84,48.46
356,606,porto alegre,RS,48,1,-10.75,4.62,48,8282.45,172.55
357,1181,brusque,SC,130,3,-10.26,3.55,130,6777.23,52.13
358,2689,cruzeiro,SP,97,12,-12.71,4.36,97,6298.87,64.94
359,2518,contagem,MG,14,5,-6.36,4.57,14,3408.93,243.49
360,1649,blumenau,SC,218,3,-11.77,4.0,218,17455.73,80.07
361,1461,sao paulo,SP,15,7,-8.93,4.27,15,1087.06,72.47
362,352,sao paulo,SP,336,21,-8.59,4.06,336,9037.45,26.9
363,2537,ibitinga,SP,259,2,-12.34,3.83,259,29124.41,112.45
364,1814,ibitinga,SP,70,2,-9.09,4.14,70,4038.3,57.69
