review_comment_message,review_score
comprei o rel gio  unissex e enviaram um rel gio feminino  bem menor que as especifica  es do an ncio ,1
sempre compro na lannister pra mim   a melhor loja on line,5
produto de qualidade excelente,5
 timo custo benef cio,5
ok,5
gostei da aten  o com a entrega,5
 se fosse vidro tinha quebrado  veio na caixa sem nenhuma prote  o por dentro  a caixa estava muito amassada  desculpe   mas gosto de comprar de vcs   ,4
a pe a n o serviu,1
comprei o produto dia    de fevereiro e hoje dia    de marco n o fora entregue na minha resid ncia  n o sei se os correios desse brasil e p ssimo ou foi a pr pria loja que demorou postar ,1
fiz minha compra faz    dias e n o recebi ainda meu produto   precisa melhorar nas entregas,1
espero receber esta semana  o que n o seria t o extravagante  por m   mais atrazo do que isso me faria desistir do baratheon ,5
entregou no prazo certo  fiquei feliz com a compra que fiz,5
lindo rel gio adorei,5
comprei dois lustres pendentes  com a parceira targaryen e s  me enviaram um lustre  abri reclama  o  mas ainda n o recebi resposta  aguardo solu  o por parte de lojas lannister ,3
muito bom alta qualidade ,5
produto bonito  entregue bem valado e dentro do prazo  recomendo ,5
muito bom,5
faltou   produto e os que recebi   veio quebrado,1
chegou dentro do prazo e o produto   de excelente qualidade  acabou as dores nas costas  estou dormindo muito bem ,5
aqui est  descrevendo como entregue s  que ate agora n o recebi,1
acho que rastreando o produto devia ser melhor e mais preciso  mas no geral foi uma  tima experi ncia ,5
ainda n o tive a oportunidade de testar,5
comecei a usar agora ,3
nada a declarar,5
comprar um produto correto na capa mas interno ser outro          ,3
entrega super rapida,3
fiz um pedido de   garrafas de azeite chegaram   num dia e as outras   quase    horas depois contato com a loja muito dificil tanto via e mail qto por telef o suspense terminou mas l  n o compro mais,3
o produto chegou muito rapido e de boa qualidade recomendo o produto,5
n o posso  estou aguardando a chegada do produto que comprei logo que isso aconte a  terei minha opini o formada ,1
comprei dois produtos e recebi somente um  mandei dois emails para a loja e n o tive nenhum retorno  estou insatisfeita ,1
n o recomendaria esta loja nem pretendo voltar a comprar nela a mercadoria foi entregue ap s o prazo e quase   m s ap s a compra  no site das lannister costumam chegar antes do prazo  estranhei muito,3
recomendo,5
atendeu minha expectativa ,4
entrega antes do prazo  produto muito pr tico e de f cil manuseio  ,5
otimo produto s  nao veio manual  mas sem problemas ,5
uma das pe as n o encaixava  estava de di metro diferente  eu tive que serrar e martelar para poder caber e encaixar   de resto  tudo ok ,4
excelente produto ,5
tudo certo,5
demora na entrega  detestei o atendimento e nunca mais compro  baratheon quando vendia por eles mesmos era bem melhor  ,1
produto muito bom,5
o meu produto n o chegou    segundo o rastreio est  parado em ribeir o preto sp    ,1
produto deu defeito na   vez de uso ,1
super recomendo produto profissional de qualidade,5
at  agora n o recebi o produto ,1
 a loja anuncia um produto e entrega outro ,1
muito bom e rapido quando vi ja tinha chegado,5
o produto chegou muito bem,5
otimo,5
apesar de ter sido entregue rapidamente  substitu ram a caixa meteoro pela caixa borne  quando tentei reclamar nas lannister o sistema estaav fora do ar  a guitarra e acess rios estavam corretos ,3
muito satisfeito,5
parab ns para loja e revendedor apesar de ter demorado um pouco,4
entregue dentro do prazo  e com bom per odo de validade ,5
o jogo de toalhas   lindo mais bonito do que na foto  amei ,5
produto foi entregue com umas das al as com problemas  est  faltando   pino de fixa  o ,1
foi marcado o dia       para entrega do pedido e no rastreamento marcava que o produto j  havia sido entregue na data mas na realidade n o foi entregue  o produto s  foi entregue no dia       ,2
loja al m do frete ser muito caro   o produto leva quase    dias  teis   para chegar na sua casa,2
recebi bem r pido  por m veio outro produto  e n o o que eu pedi  o modelo veio diferente  a cor  veio uma capinha que n o tem z per  enfim  n o recomendo  ,1
sempre comprei no stark e estou satisfeito ,5
fiz a compra por tabela e gra as a deus deu tudo certo fico muito grato pode confiar ,5
cancelaram a minha compra um dia antes da entrega  liguei para a lannister e os atendentes n o sabiam o que estava acontecendo  uma bagun a  agora estou esperando para ver se vai ser cobrado,1
produto de qualidade e efici ncia na entrega  recebi muito antes do combinado  recomendo,5
produto bom veio no dentro do prazo chegou em    dias est o de parab ns  ,5
tudo ok o baratheon sempre respons vel com a suas entregas ,5
o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei,1
e muito desordenado comprei tr s produtos mais n o veio no dia sert es veio separado e em data separada ,1
a,5
entrega rapida,5
foi bom,4
mercadoria certa entregue no prazo combinado  grata,5
  muito ruim   ,1
passou dos dias previstos ,1
ao fazer a compra do kit entendi que receberia   frascos de    c psulas  cada  e n o   frascos com    c psulas no total  s  n o vou devolver porque estou precisando do produto ,3
entrega bem antes do prazo perfeito  ,5
cada vez que compro mais fico satisfeita parab ns pela honestidade com seus clientes      ,5
bem rapido a entrega e bom comprar com vcs,5
produto n o recomendo n o ler em nenhum dispositivo,1
entrega super r pida  parab ns ,4
tudo r pido e eficiente ,4
creme maravilhoso e entrega super r pida,5
tentando cancelar o produto desde antes da emiss o da nota fiscal  n o fui avisada que estava no correio  n o tive nenhuma resposta do cancelamento e nao consigo devolver  ,1
chegou hoje   sem coment rios,4
boa noite      lament vel  esta loja que tantas compras eu ja fiz e hoje n o me da satisfa  o sequer de um rel gio na import ncia de       reais     um produto com defeito e at  agora n o me deu retor,1
muito bom  aquilo que esperava ,5
a capa protetora n o   exatamente o que eu esperava deixa a desejar no tipo material e na qualidade ,2
no site o produto parece ter melhor qualidade de material e acabamento ,3
recebi meu produto corretamente e dentro do prazo verificando na caixa esta tudo correto mas ainda n o montei produto lindo cor perfeita amamos   super recomendo ,5
a embalagem deixou a desejar  por pouco o produto n o foi danificado  a caixa estava toda amassada ,3
parab ns  produto entregue bem antes do prazo atendeu  s minhas necessidades ,5
recomendo ,5
faltaram os cabos e o manual,3
 timo chegou bem antes do prazo  ,5
entregue no prazo produto muito bom ,5
o produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios  l gico  a embalagem chegou amassada e s  deus sabe se o produto est  funcionando ou n o  ainda n o testei ,2
acho q deveriam mandar por sedex ao inv s de pac,5
 ltima vez que compro pois hoje vai fazer   m s que fiz a comprar e nada  e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen ,1
lindo    s  faltou instru  es da troca de pulseiras ,5
produto exatamente conforme descrito   chegou bem antes do prazo ,5
o produto chegou bem antes do prazo estipulado  amei o atendimento  super recomendo ,5
n o gostei do produto  material de p ssima qualidade ,1
dos dois produtos comprados  foi entregue apenas um ,1
nao compro mais na lannister  se   parceiro da lannister ou n o essa targaryen jamais uso novamente  quando eu ler que   dessa empresa saio correndo  um absurdo  quase um m s para entregar  extra com ok,1
recebi corretamente o produto,3
recebi o produto dentro do prazo informado  ainda n o utilizei ,5
o pedido chegou antes do combinado  muito bom ,4
produto entregue conforme anunciado ,4
recebe apenas    pe a do produto  estou precisando da   pe as restante  ,3
loja   ,5
o viol o que comprei   lindo  por m a cor do adesivo n o confere com a foto do ato da compra  mas aprovei ,4
nem fizeram a nota fiscal ,1
chegou antes do prazo   produto excelente ,5
trabalho com profissionalismo das lojas lannister  indico com certeza,4
o mp  player n o funciona  mesmo trocando a pilha diversas vezes  tive que devolver ,1
super recomendo o produto que   muito bom ,5
pr  treino muito bom  um dos melhores do mercado  se n o for o melhor  ,5
 a loja postou o produto de e mediato o correio demorou um pouco  ,4
sempre compro no stark e sempre sou bem atendido  site eficiente e produtos de  tima qualidade  recomendo a todos podem comprar de olhos fechados  ,5
muito bom desde da compra a entrega td direitinho e rapido,4
tudo ok ,5
a targaryen n o   de confian a n o entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia          empresa falsa quero receber meus produtos que foram pagos com boleto bancari,1
entrega e qualidade do produto de acordo com o esperado ,5
excelente recomendo,5
a bolsa e muito bonita por fora  mas dentro n o tem forro   e   bem fragil   ,3
quando instalei o cartucho de tinta  a minha impressora indicou que o mesmo estava vazio  e apresentou a mensagem de erro     em cima do marcador de n vel da tinta  j  solicitei a troca  ,1
muito bom  recomendo o produto ,4
quanto ao site n o tenho o que questionar  sempre cumprem super o combinado     recomendo sempre  mas o produto   fraco   ,5
bom em todos os aspectos,4
at  hoje estou satisfeito com a sbmarino,5
n o foram entregue as duas capas de couro compradas  apenas uma delas  aguardo a devolu  o do dinheiro ou a entrega da segunda capa ,1
gostei ,5
fiquei feliz com  o tecido  mas acho que faltou o len ol de cima para ficar completo   espero que logo lancem ,3
chegou antes do prazo   a cabeceira   linda ,5
houve alguma confus o entre vendedor e o stark  pois recebi um email do stark pedindo o cancelamento do produto por algum imprevisto na entrega  neguei e recebi o produto dias depois ,3
  ,5
gostei do produto chegou no tempo certo os vendedores est o de parab ns,5
atendimento excelente,5
gostei ,4
no dia    de maio usei e a   al a quebrou sem muito peso ,1
toalha do maior campe o do brasil maravilhosa ,5
a entrega foi realizado muito antes do previsto    bom produto   estou satisfeita,5
at  agora tudo bem estou esperando a entrega do produto,5
a compra ocorreu como o esperado  desde de o pedido at  o recebimento do produto  tudo bem certinho  ,5
o produto foi entregue antes do prazo   ,5
gostei muito do produto era exatamente boque eu esperava  entrega dentro do prazo  parab ns recomendo a loja,4
comprei o produto na cor preta e chegou na cor vermelha ,2
j    a segunda vez que compro nesta loja super eficiente entrega r pida e antes do prazo contratado  produto bem embalado   nota     muito obrigado,5
otimo  ,4
pensei que a mochila fosse um material mais resistente ,2
comprei um produto e veio outro   mandei msg informando o erro   por m n o obtive resposta   obrigado ,1
o produto demora muita para chegar  ,1
so recebemos um relogio pelo correio    att  ,3
entrega r pida  produto conforme esperado,5
tudo como anunciado     timo produto   ,5
produto de boa qualidade  exatamente conforme anunciado  e o pre o baixo   uma atrativo a mais ,3
somente foi entregue uma unidade  ao inv s de duas ,1
 adorei o produto   recebi antes do prazo combinado    ficou muito bonito,4
muito satisfeito ,5
otimo produto porem caro demais     ,4
produtos otimos  entrega r pida   super recomendo   ,5
recebi sim mais com defeito os encaixes sao dois igual e nao fecham   ,2
ainda n o recebi,1
tive um p s venda excelente atrav s do sr renato,5
gostei muito do produto  a entrega veio antes do prazo  recomendo  fica bem encaixado no celular  n o tira a eleg ncia do aparelho  como outras as capas que deixam monstruoso com o tamanho ,5
muito bom,5
at  agora nao recebi comprei este aparelho por questao de saude portanto nao recomendo esta loja ,1
recomendo a todos  produto de  tima qualidade  entregue sem problemas ,5
produto chegou dentro do prazo  veio conforme descri  o e   excelente ,5
o produto chegou antes do prazo  e gostei bastante   agora meu rapazinho de   aninhos vai aproveitar ao maximo  ,4
gostaria de saber quando chegar  meu produto   pois j  se passou a data prevista para entrega   gostaria de uma resposta estou aguardando ,1
loja nota   ,4
parab ns  recebi antes do prazo   tudo correto como foi combinado ,5
o produto entregue difere do pedido  trata se de um produto inferior   gostaria que fosse solucionado o problema   n o estou satisfeito com procedimento ,1
muito bom mesmo ,5
comprei o produto  paguei no boleto e s  recebi metade do produto  anunciaram uma coisa   mandaram outra  muito insatisfeita    ,2
entrega antes do prazo produto muito bem conservado  ,5
produto de  tima qualidade  adorei ,5
apesar da demora em expedir a nota fiscal  depois de expedida a entrega foi r pida e o produto veio bem embalado  recomendo ,5
comprei o produto dia em inicio de mar o e n o recebi no prazo abrindo at  um protocolo para resolverem minha situa  o,2
n o recebi o produto  assim como nenhum contato por parte do  vendedor,1
nem ratrear estou conseguindo  ,1
nota   ,5
esperando o instalador,3
comprei um produto para ser entregue por essa loja  e ainda n o recebi  pois assim j  se passou a data de entrega,2
 timo servi o,5
 tima compra   timo produto  s  senti falta de algum comunicado entre a compra e a chegada do produto  s  contato  mas valeu ,4
veio conforme o pedido mais o p s venda n o respondeu nenhuma das minhas perguntas,1
comprei duas mochilas  recebi apenas uma  o natal est  chegando e at  agora nada ,1
perfeitos ,5
o pre o foi  timo  o prazo de entrega que   longo  mais de   m s para entregar   comprei   cartuchos e entregaram apenas    reclamei e enviaram o outro ainda dentro do prazo de entrega ,3
prazo foi estendido por m entregue no prazo divulgado na propaganda  cadeira conforme foto  vem para montar  mais f cil e linda,5
simplesmente lindo    adorei o produto    tamanho perfeito    j  comprei v rias produtos  j  faz anos que compro no baratheon   ,5
muito bom  chegou dentro do prazo ,4
otimo  pre o  entregou antes do prazo e produto de  tima qualidade   ,5
comprei um relogio de presente de natal para meu filho e ate agora nao chegou  enviei mensagens e na ultima conversa o relogio chegaria ontem  porem nao recebi nada ,2
s  poderia entregar mais r pido fim de ano ,5
otima venda  tudo perfeito ,5
produto de  tima qualidade   chegou antes do tempo esperado  amei   ,5
veio bem embalado  envio r pido  ,5
estou muito satisfeita com a minha compra e com o recebimento do produto  dentro do prazo ,5
at  agora n o recebi nada  a colcha estava prevista para anteontem        e at  agora nada,3
os pinc is vieram amassados  n o condiz com algumas fotos  mas condiz com a descri  o  s o fracos  n o cabem na case e um veio descolado ,1
produto correspondente as minhas expectativas  foi entregue antes do prazo estabelecido  ,5
indico a loja compro sempre na lannister  ,4
o produto veio diferente da q mostra na foto  n o   de luxo  nem acolchoado como dizia ,1
foi tudo normal   como   mesmo uma compra por internet  obrigado ,5
boa compra ,4
produto chegou dentro do prazo  atende pelo custo benef cio  por m a bolsa n o   forrada e a al a   de pl stico  estou satisfeita ,4
estou plenamente satisfeita com minha aquisi  o  e recomendo  a  nica coisa que n o concordo   com o valor de frete  aut ssimo ,5
comprei    s  enviaram   ,3
parece que mantem bem o alimento sem murchar  batata palha  mas a tampa   estranha  parece que n o fecha  e o inox da tampa   feio ,2
estou aguardando uma resposta at  hoje  sobre os meus produtos  j  foram pagos e ainda n o os recebi  foram    iguais e necessito falar com pessoas e n o m quina ou grava  es ,1
entrega e produto perfeito ,5
parab ns   pelo excelente atendimento de qualidade ,5
produto entregue antecipadamente ,4
gostei de comprar recebi o produto antes do prazo e de boa qualidade  recomendo ,5
super recomendo  stark sempre chegando antes da dta prevista  d,5
correios n o entregou ,4
entrega feita no prazo e produto em perfeitas condicoes  parabens a equipe,4
ainda n o recebi o produto,3
gostaria de receber os produtos corretos  tentei realizar a troca pela devolu  o de dinheiro no cart o  mas o site da lannister n o possibilita que seja realizado ,1
produto perfeito  entrega r pida  estou satisfeit ssima    ,5
meu produto veio com defeito devolvi conforme informado postado no correio conforme indicado e at  hoje n o recebi nenhuma notifica  o da empresa quanto a devolu  o e an lise para ter meuressarcimento,1
o pedido chegou antes do prazo  obrigada ,5
s  recebemos   cartucho j  abrimos reclama  o no site e ainda n o obtive resposta  ,1
produto de alta qualidade  descri  o confere com o produto  entregue no tempo certo   recomendo ,4
o tampo da mesa chegou todo amassado e batido ,1
dentro do prazo por m poderiam agilizar como no meu outro produto que foi entregue em   dias ,2
o rel gio   lindo e a entrega foi muito r pida  recomendo ,5
adorei  pequeno  f cil de usar  n o arranha apela e limpa a pele   recomendo,5
como sempre  excelente servi o ,5
at  o momento eu n recebir o produto,1
como sempre lannister entrega certinho,4
produto perfeito  chegou antes do prazo ,5
muito bom o produto  melhor que esperava e foi entregue no prazo  gostei bastante  ,5
muito bom o produto e pre o cobrado ,1
sdds ,5
muito bom o produto recomendo,5
entrega dentro do prazo isso   importante  ,5
gostei muito   o objeto veio o mesmo comprado  j  comprei em outras lojas e veio outra cor   gostei  com lannister tudo ok ,5
o aparelho chegou apresentando defeito  n o est  apresentando todas as fun  es no visor digital ,3
o produto n o est  nas medidas corretas indicadas na oferta  terei q ligar para vcs para troca,2
no aguardo de um retorno urgente ,1
produto mais que passou do prazo de entregar  tento resolver o problema com a empresa e n o consigo falar com ningu m  tudo que fazem   me passar para reclamar num sistema que n o funciona ,1
s  recebi um produto  consta que j  recebi os dois  n o recebi a sapateira  ,3
deram um prazo muito grande para a entrega do produto e n o conseguiram entregar no prazo ,1
excelente produto indico a qualquer pessoa ,2
tudo certinho entrega no prazo  timo ,5
n o recebi o produto e agora ,1
chegou amassado    ,3
recomendo ,4
comprei tapete de borracha para tr  mitsubishi a loja entregou um tapete de pvc horrivel  no titulo ta tapete borracha tr    me enganaram e agora o que fazer sendo que tem despesa para devolu ao  por,1
 timo perfume  fragr ncia maravilhosa  recomendo,5
muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes ,4
o produto superou minha expectativa  o prazo de entrega foi antecipado em   dias  j  instalei e ficou show  ,5
entrega rapida,5
previs o de entrega at         recebi em        excelente ,5
solicitei devolu  o  produto com defeito,3
loja em si   boa pena a americana nao da suporte ao cliente ,5
exatamente o que eu precisava ,5
achei a qualidade do produto muito ruim  n o veio nenhuma bucha ou parafuso para fixar na parede ,3
obrigada  chegou mto r pido,5
o  nico problema   que a marca  o de data   a marca  o americana ,4
acho que o produto deveria ter um prazo de validade maior ,4
entrega antes do prazo  recomendo essa loja ,5
show ,5
boa noite as lojas lannister s o  timas adoro o site hoje fa o pouqu ssima compra pelo frete abusivo infelizmente n o compensa como antes mas precisamos comprar obrigada ,3
excelente produto  bonito e sofisticado ,5
n o veio a nota fiscal,4
agrade o muito  pois recebi o produto correto conforme encontrado no site  a entrega foi super r pida  fiquei muito satisfeito e com certeza vou recomentar para os amigo ,5
entrega r pida produto conforme anunciado,5
meu produto ainda n o foi entregue  j  fiz minha reclama  o e at  agora n o tive nenhuma previs o de entrega  estou super insatisfeito e quero meu dinheiro de volta  foi denunciar ao procon ,1
a cortina n o   o modelo que pedi   ,1
a impress o est  saindo com a tinta fraquinha   ,3
comprei rosa com bra os brancos e entregam toda preta  ,1
preciso de uma previs o ,1
estou muito satisfeita chegou antes do prazo super recomendo ,5
produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas  ,4
entrega dentro do prazo  produto sem nenhum problema,4
bom,5
boa qualidade e pre o ,5
sempre entrega antes do prazo ,5
muito bom super recomendo entrega sempre certa ,5
boas pessoal  a atendente da lannister foi muito atenciosa por m a loja que deveria ter me entregado o produto cancelou a comprar     o que ser  que aconteceu    ,3
entregue antes do prazo  produto perfeito ,5
recomendo para todos  n o tive problema nenhum  mercadoria e prazo  timos ,5
gostei de ter comprado nesta loja  atendimento perfeito ,5
comprei uma cadeira  recebi no prazo  por m a cadeira veio quebrada na parte inferior  poderiam ter um maior cuidado na embalagem ,3
sempre compro e sempre recebo o produto certo no prazo ou antes do prazo,5
entrega muito rapida ,5
o produto foi entregue bem antes do prazo adorei,5
ainda nao instalei mais gostei muito,5
bom produto  entrega r pida  recomendo,5
produto recebido no prazo e em perfeitas condi  es ,5
muito bom,5
recebi outra boneca  quero devolver e n o consigo contato  jamais compraria novamente dessa loja  ,1
 tima compra  mas o frete nao compensa pesa no or amento   devia ter frete grates  ,3
n a,5
o produto chegou como eu imaginava por enquanto estou gostando  ,4
 tima r pida na entrega obrigado ,5
penso que deveria haver um modo de se comunicar com a empresa caso acontecesse de encomenda n o ser entregue ,2
produto bom  prazo bom   ,5
muito bom  j    o segundo objeto que compro e recebi sem problema nenhum ,5
bonito e de boa qualidade  adorei ,5
o produto chegou antes do prazo  ,5
boa noite   n o gostei pois nunca conseguimos falar com vcs pelo telefone  ,1
vendedor compromisso do vou o cliente,5
o produto n o atendeu minhas espectativas  pois os potinhos s o dificeis de abrir e fechar e a bandeja onde vai os potinhos veio com pontos de ferrugem,3
muito satisfeito entrega super r pida   show   parab ns   eu vacilei e comprei um celular nas casas bahia tem quase um m s e n o entregaram   ,5
 timo,5
tudo cento e no prazo recomento,5
n o recebi o jogo na cor tabaco  s  o vermelho  ,1
nao foi entregue na minha casa   por isso nao gostei   nao tenho tempo de esta indo nos correios  ,1
compra perfeita  ,5
o produto veio estragado,1
minha mercadoria n o foi entregue   j  paguei a primeira fatura quero cancelar a compra pois paguei o frete e n o recebi a mercadoria   ,1
produto ja chegou com defeito n o fucionou conforme minha necessidade de uso  infelizmente ultima compra minha totalmente insatisfeito ,1
recebi apenas   caixa com     unidades  e pedi   caixas  ,3
comprei dois pendentes s  chegou um  preciso saber o que foi que houve ,1
recomendo esta loja entrega direitinho  ,4
tudo conforme e entrega muito r pida     que pena que n o verifiquei a cor  pois era preta e precisava de cinza  outro ponto que tive que lixar pouco para funcionar  mas nada demais ,4
entrega rapida e correta,5
produto de f cil montagem e atende perfeitamente ao prop sito para otimizar espa o ,4
produto veio com amassados e tamb m n o est  funcionando corretamente ,1
gostei do produto,4
produto de  tima qualidade,5
estou esperando h  mais de vinte dias e ainda n o recebi meu produto e n o consigo nenhuma informa  o  ,1
estou aguardando posi  o da empresa para fazer a devolu  o do produto ,1
fornecedor n o enviou o produto correto  solicitei o sabor chocolate e me foi enviado outro sabor ,1
recomendo est  loja ,5
 timo produto  ,5
excelente,5
continuem assim  com essa responsabilidade com o consumidor  tanto no produto  quanto no prazo de entrega  primeira vez que compro e vou comprar muitas  obrigado ,5
adorei  moderno  bonito  meu cantinho do caf  vai ficar top,5
bom   foi o que esperava ,4
tudo correu como combinado  nada a reclamar ,4
de f cil manuseio  at  o presente atende as expectativas  ,4
rel gio lindo entrega antes do prazo,5
veio conforme o anunciado simples mais bonita  ,4
produto condiz com o an ncio ,5
o produto ainda n o chegou,1
satisfeito eu recomendo,4
amei  chegou rapidinho  ainda vou testa lo obrigado  ,5
gostei muito do que comprei com vcs muito obrigada breve farei outras compras vanda,5
ainda n o recebi o produto   ,1
recebi  a bolsa   diferente mas gostei estava previsto pra    de janeiro estava achando muito tempo porque   pra escola e estou aguardando o vale compra da primeira compra da bolsa que n o deu certo ,4
recebi o produto que queria e antes do prazo combinado  muito bom  recomendo com certeza ,5
na propaganda est  escrito mixer el trico e veio um port til que eu tenho tr s que quebrou por isso eu queria um el trico  voc s devem especificar melhor os produtos ,3
produto entregue antes do prazo combinado  n o   a primeira vez que compro pelo site lojas lannister e recomendo tal empresa pela seriedade no trato com os clientes ,5
comprei   produtos so mandaram   e n mim deram nenhuma justificativa   ,1
agrade o muito bom ,4
                   ,4
dentro do previsto,5
recebi antes do prazo estimado ,5
s  imaginei que fosse maior a boneca  mais   legal ,5
tive problema na entrega  pois n o tinha ningu m em casa para receber a mercadoria no hor rio que passaram ,2
atenciosos ligam para dar acompanhamento  bom prazo de validade  demorou de chegar  agora   verificar a qualidade do produto ,5
muito eficiente entregou bem r pido eu recomendo,5
muito lindo o rel gio ,3
otimo produto e entrega no prazo,5
chegou antes da data do prazo  porem vazou um pouco do produto  ,4
sempre que compro com voc s meus itens chega em perfeito estado      ,5
produto entregue antes do prazo em  timo estado ,5
muito bom ,3
entrega super r pida  produto de  tima qualidade  recomendo ,5
produto lindo   timo,5
excelente,5
esperava mais  as toalhas poderiam ser mais grossas ,3
entrega uma dia antes do previsto,4
demora um pouco pra esquentar  mesmo na pot ncia m xima    mas atende bem  nos rimeiros dias de uso tem um cheiro meio que borracha queimada  mas passa    recomendo pela praticidade e custo benef cio ,4
foi entregue bem embalado   entrega rapido comforme prometido  comforme a imagem ,5
tudo ocorreu de forma eficiente,5
o produto chegou antes do prazo e em perfeitas condi  es  ,5
o produto n o corresponde ao que eu comprei  a pel cula   muito menor que a tela do celular e n o cobre toda a tela ,2
produto conforme anunciado  e veio antes do prazo   perfeito,5
produto bom e entregue antes do previsto ,4
ainda n o usei em nenhuma viagem  mas parece ser muito boa ,4
o produto foi encaminhado para cidade de destino no dia       e at  o momento n o recebi ,1
recomendo,5
produto n o foi entregue ,1
simplesmente n o recebi meu produto e nao tenho um posicionamento decente do que acontecer  ,1
n o recebi o bra o de ducha com desviador  somente a ducha   x   com bra o de   cm ,1
adoro comprar nas lojas lannister,4
entrega muito r pido  e produto excelente ,5
 timo ,5
o produto pode estar com mal funcionamento   ou o meu telefone n o est  conseguindo fazer a leitura ,1
produto entregue,5
loja sem vergonha  n o entregaram o pedido e tiveram a descara  o de duerem que eu o cancelei  porcaria de vendedor  stark escolheu muito mal o seu paeceiro ,1
muito bom  ,5
recebi o produto que eh falso quero meu dinheiro de volta ,5
produto n o veio conforme estava no site    mostrava calend rio site mas quando recebi veio sem e esta dif cil para fazer a troca e estorno do produto,1
produto bom  entrega antes do prazo  ,5
bom,4
gostei muito,5
comprei dois produtos  sendo que um deles n o chegou  um cabo adaptador de  udio ,1
gostei muito chegou tudo certinho at  antes do prazo de entrega ,5
produto entregue dentro do prazo  ,5
fornecedor targaryen me mandou um massageador completamente diferente do que comprei  de pre o inferior e cheio de avalia  es negativas  ningu m erra mandando um superior n   curioso  ou seja  n recomendo,1
recebi o produto no prazo  tudo ok,5
muito ruim  n o veio um produto e o outro veio errado   ,1
